31.67,101
31.67,201
31.67,303
31.67,403
31.79,504
31.67,605
31.67,705
31.79,806
31.79,907
31.67,1008
31.79,1108
31.67,1210
31.67,1311
31.67,1412
31.67,1513
31.79,1613
31.79,1715
31.67,1815
31.79,1916
31.79,2017
31.79,2118
31.79,2219
31.79,2320
31.79,2420
31.79,2522
31.79,2622
31.79,2723
31.91,2824
31.91,2925
31.79,3025
31.91,3127
31.91,3228
31.91,3329
31.91,3430
31.91,3530
31.91,3632
31.91,3732
31.91,3833
31.91,3934
32.03,4035
32.03,4135
32.03,4237
32.03,4337
32.03,4439
32.03,4539
32.03,4640
32.03,4741
32.03,4842
32.03,4943
32.03,5044
32.15,5145
32.15,5245
32.15,5347
32.15,5447
32.15,5549
32.15,5649
32.15,5750
32.15,5851
32.15,5952
32.27,6052
32.27,6154
32.27,6255
32.27,6355
32.27,6457
32.27,6557
32.27,6659
32.27,6759
32.27,6860
32.27,6961
32.27,7062
32.27,7162
32.27,7264
32.27,7364
32.39,7465
32.39,7566
32.39,7667
32.39,7768
32.39,7869
32.39,7970
32.39,8071
32.39,8172
32.39,8272
32.39,8374
32.39,8474
32.39,8576
32.39,8676
32.39,8777
32.39,8878
32.51,8979
32.39,9079
32.39,9181
32.51,9281
32.51,9382
32.51,9484
32.51,9584
32.51,9686
32.51,9786
32.51,9887
32.51,9988
32.51,10089
32.51,10189
32.51,10291
32.51,10391
32.51,10492
32.51,10594
32.63,10694
32.51,10796
32.51,10896
32.51,10997
32.51,11098
32.51,11199
32.51,11300
32.51,11401
32.51,11502
32.39,11602
32.39,11704
32.39,11805
32.39,11906
32.39,12007
32.39,12107
32.39,12209
32.39,12309
32.39,12410
32.39,12512
32.39,12612
32.39,12713
32.39,12814
32.39,12915
32.39,13016
32.39,13117
32.39,13218
32.39,13319
32.39,13420
32.39,13520
32.39,13622
32.39,13722
32.39,13824
32.27,13925
32.27,14025
32.27,14127
32.27,14227
32.27,14328
32.27,14430
32.27,14530
32.27,14631
32.27,14732
32.27,14833
32.27,14934
32.27,15035
32.27,15136
32.27,15237
32.27,15338
32.27,15438
32.39,15540
32.39,15640
32.39,15741
32.39,15843
32.39,15943
32.39,16045
32.39,16145
32.39,16246
32.39,16347
32.39,16448
32.39,16549
32.39,16650
32.39,16751
32.39,16851
32.39,16953
32.39,17054
32.39,17155
32.39,17256
32.51,17356
32.39,17458
32.39,17558
32.39,17659
32.39,17761
32.51,17861
32.39,17963
32.51,18063
32.51,18164
32.51,18265
32.51,18366
32.51,18467
32.51,18568
32.51,18669
32.51,18769
32.51,18871
32.51,18971
32.51,19073
32.51,19174
32.51,19274
32.51,19376
32.39,19476
32.51,19577
